Time - Voltage	Amplitude - Voltage	
7	33.2	-4.304
7	33.2	-4.214
7	33.2	-4.231
7	33.2	-4.487
7	33.2	-4.534
7	33.2	-4.517
7	33.3	-4.575
7	33.3	-4.561
7	33.3	-4.358
7	33.3	-4.478
7	33.3	-4.583
7	33.3	-4.551
7	33.3	-4.446
7	33.3	-4.397
7	33.3	-4.585
7	33.3	-4.58
7	33.3	-4.59
7	33.3	-4.573
7	33.4	-4.536
7	33.4	-4.524
7	33.4	-4.465
7	33.4	-4.47
7	33.4	-4.578
7	33.4	-4.446
7	33.4	-4.182
7	33.4	-3.682
7	33.4	-4.319
7	33.4	-4.414
7	33.4	-4.465
7	33.5	-4.048
7	33.5	-4.304
7	33.5	-4.48
7	33.5	-4.482
7	33.5	-4.482
7	33.5	-4.082
7	33.5	-3.945
7	33.5	-4.368
7	33.5	-4.512
7	33.5	-4.424
7	33.6	-3.884
7	33.6	-3.838
7	33.6	-4.561
7	33.6	-4.475
7	33.6	-4.165
7	33.6	-4.087
7	33.6	-3.972
7	33.6	-4.114
7	33.6	-4.089
7	33.6	-3.777
7	33.6	-4.043
7	33.7	-4.106
7	33.7	-3.726
7	33.7	-4.441
7	33.7	-4.275
7	33.7	-3.301
7	33.7	-4.045
7	33.7	-4.204
7	33.7	-4.204
7	33.7	-3.203
7	33.7	-2.571
7	33.7	-3.774
7	33.8	-3.748
7	33.8	-3.083
7	33.8	-3.281
7	33.8	-2.817
7	33.8	-2.251
7	33.8	-3.169
7	33.8	-3.674
7	33.8	-3.057
7	33.8	-2.649
7	33.8	-2.429
7	33.8	-2.661
7	33.9	-2.861
7	33.9	-2.288
7	33.9	-1.785
7	33.9	-1.96
7	33.9	-2.109
7	33.9	-1.931
7	33.9	-1.909
7	33.9	-1.824
7	33.9	-2.046
7	33.9	-1.951
7	33.9	-1.956
7	34	-1.716
7	34	-1.477
7	34	-2.051
7	34	-2.466
7	34	-2.214
7	34	-1.716
7	34	-1.965
7	34	-2.18
7	34	-1.953
7	34	-2.029
7	34.1	-1.509
7	34.1	-1.245
7	34.1	-1.343
7	34.1	-1.843
7	34.1	-1.333
7	34.1	-1.025
7	34.1	-1.299
7	34.1	-1.643
7	34.1	-2.058
7	34.1	-1.165
7	34.1	-0.662
7	34.2	-1.262
7	34.2	-1.138
7	34.2	-0.854
7	34.2	-0.693
7	34.2	-0.688
7	34.2	-0.718
7	34.2	-0.513
7	34.2	-0.669
7	34.2	-0.728
7	34.2	-0.427
7	34.2	-0.503
7	34.3	-0.815
7	34.3	-0.835
7	34.3	-0.537
7	34.3	-0.425
7	34.3	-0.515
7	34.3	-0.867
7	34.3	-0.483
7	34.3	-0.464
7	34.3	-0.515
7	34.3	-0.432
7	34.3	-0.598
7	34.4	-0.903
7	34.4	-0.635
7	34.4	-0.425
7	34.4	-0.42
7	34.4	-0.457
7	34.4	-0.645
7	34.4	-0.422
7	34.4	-0.422
7	34.4	-0.444
7	34.4	-0.432
7	34.4	-0.439
7	34.4	-0.43
7	34.5	-0.432
7	34.5	-0.435
7	34.5	-0.437
7	34.5	-0.457
7	34.5	-0.43
7	34.5	-0.498
7	34.5	-0.706
7	34.5	-0.466
7	34.5	-0.439
7	34.5	-0.469
7	34.6	-0.591
7	34.6	-0.955
7	34.6	-0.669
7	34.6	-0.486
7	34.6	-0.649
7	34.6	-0.979
7	34.6	-1.106
7	34.6	-0.664
7	34.6	-0.637
7	34.6	-0.769
7	34.6	-1.387
7	34.7	-0.879
7	34.7	-0.757
7	34.7	-0.627
7	34.7	-1.003
7	34.7	-1.523
7	34.7	-1.055
7	34.7	-1.003
7	34.7	-1.04
7	34.7	-1.294
7	34.7	-1.384
7	34.7	-1.848
7	34.8	-1.326
7	34.8	-1.453
7	34.8	-1.565
7	34.8	-1.66
7	34.8	-1.311
7	34.8	-1.333
7	34.8	-2.236
7	34.8	-2.444
7	34.8	-2.534
7	34.8	-1.819
7	34.8	-2.234
7	34.9	-2.046
7	34.9	-2.402
7	34.9	-2.708
7	34.9	-2.908
7	34.9	-1.995
7	34.9	-1.572
7	34.9	-2.019
7	34.9	-2.615
7	34.9	-2.156
7	34.9	-1.929
7	34.9	-2.336
7	35	-2.258
7	35	-2.393
7	35	-2.131
7	35	-2.017
7	35	-2.1
7	35	-2.896
7	35	-2.285
7	35	-2.461
7	35	-2.18
7	35	-2.241
7	35.1	-2.529
7	35.1	-2.615
7	35.1	-2.192
7	35.1	-2.163
7	35.1	-2.549
7	35.1	-2.935
7	35.1	-2.717
7	35.1	-2.671
7	35.1	-2.891
7	35.1	-2.998
7	35.1	-3.213
7	35.2	-3.562
7	35.2	-3.23
7	35.2	-2.917
7	35.2	-3.384
7	35.2	-3.547
7	35.2	-3.521
7	35.2	-3.076
7	35.2	-3.149
7	35.2	-3.391
7	35.2	-3.748
7	35.2	-3.76
7	35.3	-3.435
7	35.3	-3.269
7	35.3	-4.109
7	35.3	-4.08
7	35.3	-3.923
7	35.3	-3.127
7	35.3	-3.455
7	35.3	-4.211
